"","Time","scenario","summary_stat","cumulative_ICU","number"
"270",2020-11-25,"A","Median",490.958286874055,0
"271",2020-11-26,"A","Median",462.410430934168,0
"272",2020-11-27,"A","Median",432.455750907588,0
"273",2020-11-28,"A","Median",404.215374984643,0
"274",2020-11-29,"A","Median",378.039751377729,0
"275",2020-11-30,"A","Median",356.422008924304,0
"276",2020-12-01,"A","Median",330.713690998161,0
"277",2020-12-02,"A","Median",312.288425173657,0
"278",2020-12-03,"A","Median",292.204566927281,0
"279",2020-12-04,"A","Median",274.321540595188,0
"280",2020-12-05,"A","Median",257.042754868245,0
"281",2020-12-06,"A","Median",240.16273186307,0
"282",2020-12-07,"A","Median",227.283729700192,0
"283",2020-12-08,"A","Median",213.063777242323,0
"284",2020-12-09,"A","Median",200.28224732971,0
"285",2020-12-10,"A","Median",189.106097781969,0
"286",2020-12-11,"A","Median",177.90667351833,0
"287",2020-12-12,"A","Median",166.880469381325,0
"288",2020-12-13,"A","Median",155.474274983125,0
"289",2020-12-14,"A","Median",145.243253838054,0
"290",2020-12-15,"A","Median",137.455700139524,0
"291",2020-12-16,"A","Median",127.925568541755,0
"292",2020-12-17,"A","Median",121.16885466581,0
"293",2020-12-18,"A","Median",114.048512548575,0
"294",2020-12-19,"A","Median",106.305258008513,0
"295",2020-12-20,"A","Median",100.239166599105,0
"296",2020-12-21,"A","Median",94.28635633719,0
"297",2020-12-22,"A","Median",88.1722130283991,0
"298",2020-12-23,"A","Median",82.5093244524049,0
"299",2020-12-24,"A","Median",77.9948334735928,0
"300",2020-12-25,"A","Median",73.4042107849018,0
"301",2020-03-01,"B","Median",0,0
"302",2020-03-02,"B","Median",0,0
"303",2020-03-03,"B","Median",0.14909307875895,0
"304",2020-03-04,"B","Median",0.610214129545872,0
"305",2020-03-05,"B","Median",0.610214129545872,0
"306",2020-03-06,"B","Median",0.610214129545872,0
"307",2020-03-07,"B","Median",0.610214129545872,0
"308",2020-03-08,"B","Median",1.22042825909174,0
"309",2020-03-09,"B","Median",1.22042825909174,0
"310",2020-03-10,"B","Median",1.22042825909174,0
"311",2020-03-11,"B","Median",1.22042825909174,0
"312",2020-03-12,"B","Median",1.83064238863762,0
"313",2020-03-13,"B","Median",1.87264238863762,0
"314",2020-03-14,"B","Median",2.01157190214825,0
"315",2020-03-15,"B","Median",2.36559987417623,0
"316",2020-03-16,"B","Median",2.81655735971484,0
"317",2020-03-17,"B","Median",3.36476216525138,0
"318",2020-03-18,"B","Median",3.61786456801966,0
"319",2020-03-19,"B","Median",3.80895764677861,0
"320",2020-03-20,"B","Median",4.76303618310414,0
"321",2020-03-21,"B","Median",5.26924098864069,0
"322",2020-03-22,"B","Median",5.56434339140896,0
"323",2020-03-23,"B","Median",5.92145511818656,0
"324",2020-03-24,"B","Median",6.26531952496622,0
"325",2020-03-25,"B","Median",6.72644057575314,0
"326",2020-03-26,"B","Median",6.91753365451209,0
"327",2020-03-27,"B","Median",7.12555230253074,0
"328",2020-03-28,"B","Median",7.12555230253074,0
"329",2020-03-29,"B","Median",7.40811748992886,0
"330",2020-03-30,"B","Median",7.69068267732699,0
"331",2020-03-31,"B","Median",7.69068267732699,0
"332",2020-04-01,"B","Median",7.89870132534564,0
"333",2020-04-02,"B","Median",7.89870132534564,0
"334",2020-04-03,"B","Median",8.21072929737361,0
"335",2020-04-04,"B","Median",8.62914024353274,0
"336",2020-04-05,"B","Median",8.91170543093087,0
"337",2020-04-06,"B","Median",9.26881715770847,0
"338",2020-04-07,"B","Median",9.31081715770847,0
"339",2020-04-08,"B","Median",9.41482648171779,0
"340",2020-04-09,"B","Median",9.62284512973644,0
"341",2020-04-10,"B","Median",9.72685445374576,0
"342",2020-04-11,"B","Median",9.83086377775509,0
"343",2020-04-12,"B","Median",10.0388824257737,0
"344",2020-04-13,"B","Median",9.98687776376907,0
"345",2020-04-14,"B","Median",10.1218917497831,0
"346",2020-04-15,"B","Median",10.2049010737924,0
"347",2020-04-16,"B","Median",10.0558079950334,0
"348",2020-04-17,"B","Median",10.1598173190428,0
"349",2020-04-18,"B","Median",10.0727335642931,0
"350",2020-04-19,"B","Median",10.1767428883025,0
"351",2020-04-20,"B","Median",10.2807522123118,0
"352",2020-04-21,"B","Median",10.2807522123118,0
"353",2020-04-22,"B","Median",10.2807522123118,0
"354",2020-04-23,"B","Median",10.4887708603304,0
"355",2020-04-24,"B","Median",10.4887708603304,0
"356",2020-04-25,"B","Median",10.4887708603304,0
"357",2020-04-26,"B","Median",10.6798639390894,0
"358",2020-04-27,"B","Median",10.9329663418577,0
"359",2020-04-28,"B","Median",11.1409849898763,0
"360",2020-04-29,"B","Median",11.3320780686352,0
"361",2020-04-30,"B","Median",11.5851804714035,0
"362",2020-05-01,"B","Median",11.8821219988027,0
"363",2020-05-02,"B","Median",12.1821472809515,0
"364",2020-05-03,"B","Median",12.5151752529794,0
"365",2020-05-04,"B","Median",12.5361752529794,0
"366",2020-05-05,"B","Median",12.6852683317384,0
"367",2020-05-06,"B","Median",13.2334731372749,0
"368",2020-05-07,"B","Median",13.5754984194237,0
"369",2020-05-08,"B","Median",13.8304399468229,0
"370",2020-05-09,"B","Median",14.2746354283501,0
"371",2020-05-10,"B","Median",14.4531912917389,0
"372",2020-05-11,"B","Median",14.9756115619073,0
"373",2020-05-12,"B","Median",15.4787326126943,0
"374",2020-05-13,"B","Median",15.8189187702122,0
"375",2020-05-14,"B","Median",16.2700351589944,0
"376",2020-05-15,"B","Median",16.9640903852966,0
"377",2020-05-16,"B","Median",17.3212021120742,0
"378",2020-05-17,"B","Median",17.5192160980882,0
"379",2020-05-18,"B","Median",18.0154162416201,0
"380",2020-05-19,"B","Median",18.8204016991867,0
"381",2020-05-20,"B","Median",19.2645971807139,0
"382",2020-05-21,"B","Median",19.6637089074915,0
"383",2020-05-22,"B","Median",20.1079043890188,0
"384",2020-05-23,"B","Median",20.9548898465853,0
"385",2020-05-24,"B","Median",21.6421830688762,0
"386",2020-05-25,"B","Median",22.565256943197,0
"387",2020-05-26,"B","Median",23.4464897207616,0
"388",2020-05-27,"B","Median",24.1110821624339,0
"389",2020-05-28,"B","Median",25.0358568173733,0
"390",2020-05-29,"B","Median",26.0319353536988,0
"391",2020-05-30,"B","Median",27.1771069687833,0
"392",2020-05-31,"B","Median",28.0204141770881,0
"393",2020-06-01,"B","Median",29.0005744960378,0
"394",2020-06-02,"B","Median",29.6687068429595,0
"395",2020-06-03,"B","Median",31.1189855228169,0
"396",2020-06-04,"B","Median",32.2641571379014,0
"397",2020-06-05,"B","Median",33.7564358177588,0
"398",2020-06-06,"B","Median",35.0281586342274,0
"399",2020-06-07,"B","Median",36.6451493908381,0
"400",2020-06-08,"B","Median",37.9498748971859,0
"401",2020-06-09,"B","Median",39.7908025191911,0
"402",2020-06-10,"B","Median",41.5602673565664,0
"403",2020-06-11,"B","Median",43.0284622816742,0
"404",2020-06-12,"B","Median",45.3738939285975,0
"405",2020-06-13,"B","Median",47.7713302375254,0
"406",2020-06-14,"B","Median",49.4910856880266,0
"407",2020-06-15,"B","Median",51.6617986240665,0
"408",2020-06-16,"B","Median",54.073472928983,0
"409",2020-06-17,"B","Median",56.0636525329908,0
"410",2020-06-18,"B","Median",58.4144632097943,0
"411",2020-06-19,"B","Median",61.5386601876475,0
"412",2020-06-20,"B","Median",63.8049196630669,0
"413",2020-06-21,"B","Median",66.7684770227817,0
"414",2020-06-22,"B","Median",70.2870011920445,0
"415",2020-06-23,"B","Median",73.2709640572472,0
"416",2020-06-24,"B","Median",76.4829981876058,0
"417",2020-06-25,"B","Median",79.9805223568686,0
"418",2020-06-26,"B","Median",83.8866117135295,0
"419",2020-06-27,"B","Median",87.4559948489007,0
"420",2020-06-28,"B","Median",91.8723634418384,0
"421",2020-06-29,"B","Median",96.6416104275698,0
"422",2020-06-30,"B","Median",101.377621328525,0
"423",2020-07-01,"B","Median",106.461963365141,0
"424",2020-07-02,"B","Median",111.605786055739,0
"425",2020-07-03,"B","Median",117.188167360517,0
"426",2020-07-04,"B","Median",122.764496765912,0
"427",2020-07-05,"B","Median",129.113205120473,0
"428",2020-07-06,"B","Median",135.7453704042,0
"429",2020-07-07,"B","Median",141.691586029978,0
"430",2020-07-08,"B","Median",148.892043818242,0
"431",2020-07-09,"B","Median",155.05742844994,0
"432",2020-07-10,"B","Median",164.84780248336,0
"433",2020-07-11,"B","Median",176.411680703033,0
"434",2020-07-12,"B","Median",190.093156582708,0
"435",2020-07-13,"B","Median",203.923075405535,0
"436",2020-07-14,"B","Median",219.623463009989,0
"437",2020-07-15,"B","Median",237.249471665182,0
"438",2020-07-16,"B","Median",260.446410136659,0
"439",2020-07-17,"B","Median",282.705070504405,0
"440",2020-07-18,"B","Median",307.725856008722,0
"441",2020-07-19,"B","Median",336.597896407073,0
"442",2020-07-20,"B","Median",368.625117886051,0
"443",2020-07-21,"B","Median",403.708557377819,0
"444",2020-07-22,"B","Median",438.125639794937,0
"445",2020-07-23,"B","Median",476.877928816878,0
"446",2020-07-24,"B","Median",518.44782151562,0
"447",2020-07-25,"B","Median",561.64583865298,0
"448",2020-07-26,"B","Median",607.255100561992,0
"449",2020-07-27,"B","Median",655.549858607326,0
"450",2020-07-28,"B","Median",707.315913960734,0
"451",2020-07-29,"B","Median",762.699668920915,0
"452",2020-07-30,"B","Median",816.695141732692,0
"453",2020-07-31,"B","Median",881.22948208534,0
"454",2020-08-01,"B","Median",952.587365255176,0
"455",2020-08-02,"B","Median",1029.67399194215,0
"456",2020-08-03,"B","Median",1111.95402344646,0
"457",2020-08-04,"B","Median",1190.84828558498,0
"458",2020-08-05,"B","Median",1277.4135949904,0
"459",2020-08-06,"B","Median",1364.42723280038,0
"460",2020-08-07,"B","Median",1458.23923765597,0
"461",2020-08-08,"B","Median",1565.2004811542,0
"462",2020-08-09,"B","Median",1676.15838228137,0
