"","Time","scenario","summary_stat","incident_death","cum_death"
"872",2020-11-27,"C","Median",2.51321786346584,4923.84210317308
"873",2020-11-28,"C","Median",2.56067850126998,4926.40278167435
"874",2020-11-29,"C","Median",2.302597355202,4928.70537902956
"875",2020-11-30,"C","Median",2.18855911004102,4930.8939381396
"876",2020-12-01,"C","Median",2.05841107967717,4932.95234921927
"877",2020-12-02,"C","Median",1.92676304931332,4934.87911226859
"878",2020-12-03,"C","Median",1.88129755816167,4936.76040982675
"879",2020-12-04,"C","Median",1.74565244155074,4938.5060622683
"880",2020-12-05,"C","Median",1.61350615943864,4940.11956842774
"881",2020-12-06,"C","Median",1.59189695698635,4941.71146538472
"882",2020-12-07,"C","Median",1.45600125762484,4943.16746664235
"883",2020-12-08,"C","Median",1.43704624972502,4944.60451289207
"884",2020-12-09,"C","Median",1.32675800456403,4945.93127089664
"885",2020-12-10,"C","Median",1.21081731310233,4947.14208820974
"886",2020-12-11,"C","Median",1.18820927615122,4948.33029748589
"887",2020-12-12,"C","Median",1.14799028849607,4949.47828777439
"888",2020-12-13,"C","Median",1.03435856888988,4950.51264634328
"889",2020-12-14,"C","Median",1.1133874963002,4951.62603383958
"890",2020-12-15,"C","Median",1.00309925113922,4952.62913309072
"891",2020-12-16,"C","Median",0.878853667076084,4953.50798675779
"892",2020-12-17,"C","Median",0.853591435572504,4954.36157819337
"893",2020-12-18,"C","Median",0.761912975614383,4955.12349116898
"894",2020-12-19,"C","Median",0.741303190411519,4955.86479435939
"895",2020-12-20,"C","Median",0.719695736210986,4956.5844900956
"896",2020-12-21,"C","Median",0.608407491050001,4957.19289758665
"897",2020-12-22,"C","Median",0.589797705847137,4957.7826952925
"898",2020-12-23,"C","Median",0.583800036849468,4958.36649532935
"899",2020-12-24,"C","Median",0.582800036849468,4958.9492953662
"900",2020-12-25,"C","Median",0.560192582648936,4959.50948794885
"901",2020-03-01,"D","Median",0,0
"902",2020-03-02,"D","Median",0.018609785202864,0.018609785202864
"903",2020-03-03,"D","Median",0.030602792195871,0.0492125773987349
"904",2020-03-04,"D","Median",0.0234846120466646,0.0726971894453995
"905",2020-03-05,"D","Median",0.00536992840095465,0.0780671178463541
"906",2020-03-06,"D","Median",0.0132398568019093,0.0913069746482634
"907",2020-03-07,"D","Median",0.0288545404476192,0.120161515095883
"908",2020-03-08,"D","Median",0.0746560111012485,0.194817526197131
"909",2020-03-09,"D","Median",0,0.194817526197131
"910",2020-03-10,"D","Median",0.018609785202864,0.213427311399995
"911",2020-03-11,"D","Median",0.030602792195871,0.244030103595866
"912",2020-03-12,"D","Median",0.030602792195871,0.274632895791737
"913",2020-03-13,"D","Median",0,0.274632895791737
"914",2020-03-14,"D","Median",0.018609785202864,0.293242680994601
"915",2020-03-15,"D","Median",0.030602792195871,0.323845473190472
"916",2020-03-16,"D","Median",0.030602792195871,0.354448265386343
"917",2020-03-17,"D","Median",0,0.354448265386343
"918",2020-03-18,"D","Median",0.018609785202864,0.373058050589207
"919",2020-03-19,"D","Median",0.030602792195871,0.403660842785078
"920",2020-03-20,"D","Median",0.030602792195871,0.434263634980949
"921",2020-03-21,"D","Median",0.0502125773987349,0.484476212379684
"922",2020-03-22,"D","Median",0.0502125773987349,0.534688789778418
"923",2020-03-23,"D","Median",0.136893368359187,0.671582158137605
"924",2020-03-24,"D","Median",0.136893368359187,0.808475526496792
"925",2020-03-25,"D","Median",0.136893368359187,0.945368894855979
"926",2020-03-26,"D","Median",0.155503153562051,1.10087204841803
"927",2020-03-27,"D","Median",0.155503153562051,1.25637520198008
"928",2020-03-28,"D","Median",0.156503153562051,1.41287835554213
"929",2020-03-29,"D","Median",0.155503153562051,1.56838150910418
"930",2020-03-30,"D","Median",0.155503153562051,1.72388466266623
"931",2020-03-31,"D","Median",0.155503153562051,1.87938781622828
"932",2020-04-01,"D","Median",0.155503153562051,2.03489096979034
"933",2020-04-02,"D","Median",0.155503153562051,2.19039412335239
"934",2020-04-03,"D","Median",0.163498491557389,2.35389261490977
"935",2020-04-04,"D","Median",0.164498491557389,2.51839110646716
"936",2020-04-05,"D","Median",0.164498491557389,2.68288959802455
"937",2020-04-06,"D","Median",0.164498491557389,2.84738808958194
"938",2020-04-07,"D","Median",0.164498491557389,3.01188658113933
"939",2020-04-08,"D","Median",0.164498491557389,3.17638507269672
"940",2020-04-09,"D","Median",0.164498491557389,3.34088356425411
"941",2020-04-10,"D","Median",0.169150937858105,3.51003450211221
"942",2020-04-11,"D","Median",0.164498491557389,3.6745329936696
"943",2020-04-12,"D","Median",0.183108276760253,3.85764127042985
"944",2020-04-13,"D","Median",0.183108276760253,4.04074954719011
